Class,Rank_group,Title Length,Country_Count,Author_Count,Institution_Count,Journal_encodeder,Publisher_encodeder,CIT_Avg.
1,0,14,1,1,2,89,215,0
1,0,18,1,4,2,89,215,0
1,0,8,1,2,2,89,215,0
1,0,14,1,3,3,89,215,0
1,0,11,1,4,2,231,215,0
1,0,12,1,4,2,231,215,0
1,0,13,1,6,7,231,215,0
1,0,13,1,5,3,231,215,0
1,0,13,1,4,4,4783,211,2
1,0,11,2,2,2,4783,211,3
1,0,13,1,3,1,4783,211,0
1,0,14,1,4,5,4783,211,0
1,0,9,1,3,2,190,215,0
1,0,7,1,2,2,190,215,0
1,0,12,1,2,2,190,215,0
1,0,8,1,2,2,190,215,0
1,0,12,1,2,2,134,215,0
1,0,12,1,3,3,134,215,0
1,0,13,1,3,3,134,215,0
1,0,9,1,3,1,167,215,0
1,0,13,1,2,1,167,215,0
1,0,10,1,2,1,167,215,0
1,0,13,1,6,2,1906,536,8
1,0,11,1,2,2,1906,536,4
1,0,14,1,4,4,1906,536,0
1,0,15,1,1,2,3087,211,0
1,0,18,1,1,2,3087,211,2
1,0,8,1,3,1,3087,211,2
1,0,7,1,1,1,5043,421,1.5
1,0,15,1,1,1,5043,421,0
1,0,8,1,3,4,5043,421,0
1,7,17,1,2,2,2928,547,0.5
1,7,8,1,4,3,2928,547,3.5
1,7,17,1,8,4,2928,547,3.666666667
1,0,10,1,1,2,126,215,0
1,0,8,1,3,2,126,215,0
1,0,9,1,3,3,126,215,0
1,7,14,1,4,2,4209,474,4.5
1,7,11,1,5,3,4209,474,11.5
1,7,16,1,10,4,4209,474,11
1,9,20,1,3,2,916,211,0
1,9,22,1,6,6,916,211,0.666666667
1,9,14,1,4,3,916,211,1
1,6,25,2,14,4,4773,372,0
1,6,14,1,7,5,4773,467,20
1,6,14,4,6,5,4773,467,31.5
1,0,16,1,1,1,3823,211,0
1,0,23,1,1,1,3823,211,0
1,0,15,1,3,2,3823,211,2
